Site	Dates	Flow	
10s	10d	6n	
11452900	2016-08-20	0	
11452900	2016-08-21	0	
11452900	2016-08-22	0	
11452900	2016-08-23	0	
11452900	2016-08-24	0	
11452900	2016-08-25	0	
11452900	2016-08-26	0	
11452900	2016-08-27	0	
11452900	2016-08-28	0	
11452900	2016-08-29	0	
11452900	2016-08-30	0	
11452900	2016-08-31	0	
11452900	2016-09-01	0	
11452900	2016-09-02	0	
11452900	2016-09-03	0	
11452900	2016-09-04	0	
11452900	2016-09-05	0	
11452900	2016-09-06	0	
11452900	2016-09-07	0	
11452900	2016-09-08	0	
11452900	2016-09-09	0	
11452900	2016-09-10	0	
11452900	2016-09-11	0	
11452900	2016-09-12	0	
11452900	2016-09-13	0	
11452900	2016-09-14	0	
11452900	2016-09-15	0	
11452900	2016-09-16	0	
11452900	2016-09-17	0	
11452900	2016-09-18	0	
11452900	2016-09-19	0	
11452900	2016-09-20	0	
11452900	2016-09-21	0	
11452900	2016-09-22	0	
11452900	2016-09-23	0	
11452900	2016-09-24	0	
11452900	2016-09-25	0	
11452900	2016-09-26	0	
11452900	2016-09-27	0	
11452900	2016-09-28	0	
11452900	2016-09-29	0	
11452900	2016-09-30	0	
11452900	2016-10-01	0	
11452900	2016-10-02	0	
11452900	2016-10-03	0	
11452900	2016-10-04	0	
11452900	2016-10-05	0	
11452900	2016-10-06	0	
11452900	2016-10-07	0	
11452900	2016-10-08	0	
11452900	2016-10-09	0	
11452900	2016-10-10	0	
11452900	2016-10-11	0	
11452900	2016-10-12	0	
11452900	2016-10-13	0	
11452900	2016-10-14	0	
11452900	2016-10-15	0	
11452900	2016-10-16	0	
11452900	2016-10-17	0	
11452900	2016-10-18	0	
11452900	2016-10-19	0	
11452900	2016-10-20	0	
11452900	2016-10-21	0	
11452900	2016-10-22	0	
11452900	2016-10-23	0	
11452900	2016-10-24	0	
11452900	2016-10-25	0	
11452900	2016-10-26	0	
11452900	2016-10-27	0	
11452900	2016-10-28	0	
11452900	2016-10-29	0	
11452900	2016-10-30	0	
11452900	2016-10-31	0	
11452900	2016-11-01	0	
11452900	2016-11-02	0	
11452900	2016-11-03	0	
11452900	2016-11-04	0	
11452900	2016-11-05	0	
11452900	2016-11-06	0	
11452900	2016-11-07	0	
11452900	2016-11-08	0	
11452900	2016-11-09	0	
11452900	2016-11-10	0	
11452900	2016-11-11	0	
11452900	2016-11-12	0	
11452900	2016-11-13	0	
11452900	2016-11-14	0	
11452900	2016-11-15	0	
11452900	2016-11-16	0	
11452900	2016-11-17	0	
11452900	2016-11-18	0	
11452900	2016-11-19	0	
11452900	2016-11-20	0	
11452900	2016-11-21	0	
11452900	2016-11-22	0	
11452900	2016-11-23	0	
11452900	2016-11-24	0	
11452900	2016-11-25	0	
11452900	2016-11-26	0	
11452900	2016-11-27	0	
11452900	2016-11-28	0	
11452900	2016-11-29	0	
11452900	2016-11-30	0	
11452900	2016-12-01	0	
11452900	2016-12-02	0	
11452900	2016-12-03	0	
11452900	2016-12-04	0	
11452900	2016-12-05	0	
11452900	2016-12-06	0	
11452900	2016-12-07	0	
11452900	2016-12-08	0	
11452900	2016-12-09	0	
11452900	2016-12-10	0	
11452900	2016-12-11	0	
11452900	2016-12-12	0	
11452900	2016-12-13	0	
11452900	2016-12-14	0.5	
11452900	2016-12-15	50	
11452900	2016-12-16	157	
11452900	2016-12-17	184	
11452900	2016-12-18	0.6	
11452900	2016-12-19	0.6	
11452900	2016-12-20	0.6	
11452900	2016-12-21	0.6	
11452900	2016-12-22	0.6	
11452900	2016-12-23	0.6	
11452900	2016-12-24	0.6	
11452900	2016-12-25	0.6	
11452900	2016-12-26	0.6	
11452900	2016-12-27	0.6	
11452900	2016-12-28	0.6	
11452900	2016-12-29	0.6	
11452900	2016-12-30	0.6	
11452900	2016-12-31	0.6	
11452900	2017-01-01	0.6	
11452900	2017-01-02	0.6	
11452900	2017-01-03	0.6	
11452900	2017-01-04	0.7	
11452900	2017-01-05	0.7	
11452900	2017-01-06	0.7	
11452900	2017-01-07	0.7	
11452900	2017-01-08	0.7	
11452900	2017-01-09	0.7	
11452900	2017-01-10	0.7	
11452900	2017-01-11	0.7	
11452900	2017-01-12	0.7	
11452900	2017-01-13	0.7	
11452900	2017-01-14	0.7	
11452900	2017-01-15	0.7	
11452900	2017-01-16	0.7	
11452900	2017-01-17	0.7	
11452900	2017-01-18	0.7	
11452900	2017-01-19	0.7	
11452900	2017-01-20	0.7	
11452900	2017-01-21	0.7	
11452900	2017-01-22	0.7	
11452900	2017-01-23	0.7	
11452900	2017-01-24	0.7	
11452900	2017-01-25	0.7	
11452900	2017-01-26	0.7	
11452900	2017-01-27	0.7	
11452900	2017-01-28	0.7	
11452900	2017-01-29	0.7	
11452900	2017-01-30	0.7	
11452900	2017-01-31	0.7	
11452900	2017-02-01	0.7	
11452900	2017-02-02	0.7	
11452900	2017-02-03	0.7	
11452900	2017-02-04	0.7	
11452900	2017-02-05	0.7	
11452900	2017-02-06	0.7	
11452900	2017-02-07	0.7	
11452900	2017-02-08	0.7	
11452900	2017-02-09	0.7	
11452900	2017-02-10	0.7	
11452900	2017-02-11	0.7	
11452900	2017-02-12	0.7	
11452900	2017-02-13	0.7	
11452900	2017-02-14	0.7	
11452900	2017-02-15	0.7	
11452900	2017-02-16	0.7	
11452900	2017-02-17	0.7	
11452900	2017-02-18	0.7	
11452900	2017-02-19	0.7	
11452900	2017-02-20	0.7	
11452900	2017-02-21	0.7	
11452900	2017-02-22	0.7	
11452900	2017-02-23	0.7	
11452900	2017-02-24	0.7	
11452900	2017-02-25	0.7	
11452900	2017-02-26	0.7	
11452900	2017-02-27	0.7	
11452900	2017-02-28	0.7	
11452900	2017-03-01	0.7	
11452900	2017-03-02	0.7	
11452900	2017-03-03	0.7	
11452900	2017-03-04	0.7	
11452900	2017-03-05	0.7	
11452900	2017-03-06	0.7	
11452900	2017-03-07	0.7	
11452900	2017-03-08	0.7	
11452900	2017-03-09	89	
11452900	2017-03-10	236	
11452900	2017-03-11	236	
11452900	2017-03-12	236	
11452900	2017-03-13	236	
11452900	2017-03-14	236	
11452900	2017-03-15	236	
11452900	2017-03-16	236	
11452900	2017-03-17	236	
11452900	2017-03-18	236	
11452900	2017-03-19	236	
11452900	2017-03-20	236	
11452900	2017-03-21	235	
11452900	2017-03-22	233	
11452900	2017-03-23	230	
11452900	2017-03-24	229	
11452900	2017-03-25	230	
11452900	2017-03-26	229	
11452900	2017-03-27	229	
11452900	2017-03-28	231	
11452900	2017-03-29	234	
11452900	2017-03-30	236	
11452900	2017-03-31	236	
11452900	2017-04-01	235	
11452900	2017-04-02	234	
11452900	2017-04-03	233	
11452900	2017-04-04	232	
11452900	2017-04-05	231	
11452900	2017-04-06	228	
11452900	2017-04-07	225	
11452900	2017-04-08	234	
11452900	2017-04-09	236	
