"Date","Flow","Flux","Std.Err","SEP","L95","U95"
"2017-04-04",551,283431.312021155,35467.6459848264,202689.984244452,64660.8483228686,822000.466188166
"2017-04-05",456,206843.872383649,26455.0385809925,148021.11151236,47144.0580631624,600171.537438766
"2017-04-06",446,197809.212171899,25454.2714811233,141583.489924492,45072.6748100657,574035.941679354
"2017-04-07",1260,1080577.20910163,129885.948816985,771836.747582746,246921.794109409,3131252.63116492
"2017-04-08",1740,1845484.68305619,223593.039521134,1318494.44812196,421578.69351895,5348620.59969863
"2017-04-09",1830,1991852.14856106,244195.115584749,1423555.00619735,454798.918552021,5774221.01266029
"2017-04-10",1450,1330647.77451006,164029.098894347,951153.501746403,303758.480015045,3857881.39204712
"2017-04-11",1390,1227501.47720587,152792.286702549,877680.126968692,280099.59427222,3559564.68959369
"2017-04-12",1380,1201078.58656928,150975.981424076,859044.998361713,273956.850162226,3483676.87368822
"2017-04-13",1530,1415404.33342753,179922.821510194,1012691.24809929,322686.962439364,4106330.17850525
"2017-04-14",1510,1370808.42118742,176034.855406024,981101.820519689,312380.071347727,3977856.37059315
"2017-04-15",1420,1223749.73730167,158626.254513789,876116.466635283,278751.38110674,3551875.22949397
"2017-04-16",1410,1197280.7266251,156814.209361872,857461.165005643,272592.750539878,3475889.98071239
"2017-04-17",1610,1482643.44301297,197039.739978102,1062355.40454231,337332.751891713,4305838.04147306
"2017-04-18",1610,1467693.93314004,197228.291592836,1052049.29855698,333753.511568457,4263578.35624136
"2017-04-19",1580,1407311.04492195,191085.20572759,1009137.97560311,319859.658711015,4089227.49630908
"2017-04-20",1260,951697.65935457,129821.658926157,682545.942514739,216256.032932529,2765674.84843429
"2017-04-21",1220,892368.664691578,122976.615619007,640234.468141826,202670.125136035,2593942.0126384
"2017-04-22",1180,835239.203582247,116285.002131195,599474.679595847,189595.379906909,2428527.5697065
"2017-04-23",833,463564.200427757,65202.8885515467,332842.473843147,105170.301987613,1348220.23485827
"2017-04-24",627,287838.699276195,41068.6512176133,206785.18927951,65252.6761326108,837471.301278343
"2017-04-25",477,182765.091571255,26482.9489839659,131380.891573712,41397.1408677829,531989.45316627
"2017-04-26",364,117177.570723799,17246.7445512529,84287.5629183546,26517.5667293559,341233.199738554
"2017-04-27",300,85252.823204959,12714.2445594355,61357.8699325447,19277.996913643,248362.581496326
"2017-04-28",187,40188.7913858688,6127.23272446446,28952.5280721771,9075.60728321043,117159.599990408
"2017-04-29",212,48343.8775071098,7387.79592663602,34831.2083789946,10915.6373823723,140943.950870001
"2017-04-30",314,88756.4915912167,13526.1750157218,63940.1145865994,20043.905004259,258742.188868489
"2017-05-01",235,55593.3134406374,8591.37255520451,40074.7585848732,12543.6281708244,162137.411524802
"2017-05-02",209,45783.0362440261,7146.0143189191,33018.1972552153,10323.5026576068,133569.190730141
"2017-05-03",118,18759.461147153,3001.22067823409,13545.1295533905,4223.0775369399,54775.1804199725
"2017-05-04",145,25437.1484085461,4064.17259088781,18365.5141138102,5726.85525148334,74269.7698869648
"2017-05-05",185,36659.6544308614,5861.20236105912,26468.9961555455,8253.08073745944,107039.034323826
"2017-05-06",278,68604.2423208842,10989.3691204715,49538.2346388086,15442.6741422297,200324.125674386
"2017-05-07",371,107304.563640489,17309.1706443357,77510.0760272687,24142.4166232095,313405.303099407
"2017-05-08",271,64481.985732847,10501.4917539224,46600.1647285388,14498.0760601993,188396.881023247
"2017-05-09",127,19667.3729400139,3259.90300474372,14226.2435783258,4416.40926236485,57498.9057602957
"2017-05-10",61.6,6547.46521525329,1130.2001425388,4746.55964983871,1465.74110047947,19171.8299091593
"2017-05-11",37.6,3138.92768266995,572.593139910916,2283.07388929614,699.466533496037,9212.56800945808
"2017-05-12",39.9,3385.29748442288,615.508960491151,2461.76160930674,754.583712323162,9934.20691300668
"2017-05-13",39,3239.67678094463,593.212111974901,2356.9158881868,721.676306800321,9509.86050287588
"2017-05-14",48.4,4393.86402163741,789.81480397399,3192.92756163476,980.359301228846,12887.4495770697
"2017-05-15",35.3,2743.70096253041,513.06677920141,1998.79839338758,610.033204166353,8061.66365258037
"2017-05-16",27.4,1884.31790895073,366.976468185236,1376.55734401809,417.331147145263,5547.44530736133
