"Date","Flow","Conc","Std.Err","SEP","L95","U95"
"2017-02-21",12400,2.36318827807477,0.446350755069235,2.17489939314676,0.356598366138189,8.47912795353192
"2017-02-22",7500,1.99023008740989,0.339227022376139,1.82448225760795,0.302260491955645,7.12064037186984
"2017-02-23",6150,1.8593762845973,0.305157915070846,1.70237772700294,0.282971642254418,6.64638337569174
"2017-02-24",5520,1.79167828848598,0.288328726449365,1.6393804428267,0.272945607295738,6.40151635705198
"2017-02-25",5040,1.73655894625624,0.275048729240632,1.58817675159501,0.264758631643205,6.20239697510962
"2017-02-26",4870,1.71620121999609,0.270242622350084,1.56928535927338,0.261729421635045,6.12891139384158
"2017-02-27",4680,1.69288097109525,0.264803919992851,1.54765820900047,0.258255771067822,6.04476983255819
"2017-02-28",4490,1.66892216840654,0.259291655274623,1.52545376920286,0.254682969065361,5.95836651744097
"2017-03-01",4310,1.64559413645356,0.253999005685148,1.50384845171031,0.251200288472617,5.87427914891953
"2017-03-02",4000,1.60385072507219,0.244715212467403,1.46522356056868,0.244958609972279,5.72391401916226
"2017-03-03",3910,1.59133060168138,0.241978246838699,1.45364776638532,0.243084098402557,5.67884039867947
"2017-03-04",3840,1.58145966576172,0.239836080274962,1.44452427377924,0.241605426817375,5.64331240195343
"2017-03-05",3890,1.58852240028165,0.241367406832455,1.45105194364803,0.242663499776218,5.66873222599372
"2017-03-06",3800,1.57576534971713,0.238606635951493,1.43926231584919,0.240752095618119,5.62282044798581
"2017-03-07",3730,1.56570369337662,0.236445620418076,1.42996672433969,0.239243717335731,5.58661784649338
"2017-03-08",3660,1.55551578134172,0.234272364155283,1.42055722839116,0.237715666567866,5.54996872947095
"2017-03-09",3600,1.54667974431491,0.232399681319902,1.4123985490386,0.236389771347878,5.5181890600104
"2017-03-10",3530,1.53624649753536,0.230203166133212,1.40276777166876,0.234823478719447,5.48067244418405
"2017-03-11",3440,1.52262838595198,0.227360213332925,1.39020144827945,0.232777871459258,5.43171581267735
"2017-03-12",3180,1.48190749349939,0.21902403268208,1.35265507973525,0.226653063698758,5.28540918394883
"2017-03-13",3130,1.47382537006674,0.217399256401789,1.34520828196494,0.225436001657842,5.25638572847139
"2017-03-14",3080,1.46565707509444,0.215767286010642,1.33768385796995,0.224205479887602,5.22705784912477
"2017-03-15",3030,1.45740027508372,0.214128032502392,1.33007971608146,0.222961130931546,5.19741733202376
"2017-03-16",2990,1.45072947781401,0.21281132493222,1.32393754148667,0.221955438907164,5.17347406916957
"2017-03-17",2930,1.44061130517945,0.210827311371887,1.31462344620967,0.220429399332025,5.13716369893679
"2017-03-18",2890,1.43378922715803,0.209498597192961,1.30834505418552,0.219400060238438,5.11268617212219
"2017-03-19",2830,1.42343761681807,0.207496345193151,1.29882079346531,0.217837523350417,5.07555147320524
"2017-03-20",2680,1.39690520198005,0.202441474377911,1.27442206950464,0.213828974989898,4.98040795020056
"2017-03-21",2780,1.41469945500902,0.20581927817502,1.290783258352,0.216517920604627,5.04421108593346
"2017-03-22",2840,1.42517293180381,0.207830824775923,1.30041721388549,0.218099517314132,5.08177606286297
"2017-03-23",1970,1.25577056979922,0.177477403985139,1.14495452019962,0.192419322845243,4.47520867709088
"2017-03-24",1830,1.22408736227638,0.172332293582233,1.11596396351638,0.187592927462747,4.36200556016268
"2017-03-25",2210,1.30677957983183,0.186118936552644,1.19168509945495,0.200174128727847,4.65762313382834
"2017-03-26",1900,1.24012228146741,0.174914776048026,1.13063275770436,0.190036498586353,4.4192882594499
"2017-03-27",1810,1.2194315307733,0.171590726428101,1.111706088135,0.186883067245228,4.34537687082799
"2017-03-28",1740,1.20286266019171,0.168981984573136,1.09655816042637,0.184355566068409,4.28621318111075
"2017-03-29",1680,1.18830586716155,0.166729191854575,1.08325583807925,0.182133326940439,4.23425143858386
"2017-03-30",1640,1.17840912746201,0.165218556646405,1.07421522467929,0.180621599040626,4.19893338659599
"2017-03-31",1160,1.04476076143499,0.146488128387485,0.952385115567007,0.16013621338524,3.72271794834569
"2017-04-01",993,0.98968299968491,0.139666558615668,0.902316242510095,0.15165594816037,3.52685826402895
"2017-04-02",770,0.905609942422046,0.130221463180857,0.826042911851098,0.138669080204865,3.22832666990586
"2017-04-03",674,0.864412383440978,0.125995205870111,0.788734394353469,0.132286905745597,3.08223008556511
"2017-04-04",551,0.805524792918344,0.120371043846626,0.735480835116377,0.123143802727407,2.87361314035517
"2017-04-05",456,0.753790305569652,0.115789225619689,0.688767265310107,0.115091999970443,2.69053881862302
"2017-04-06",446,0.747944754402236,0.115290210260387,0.683493135018607,0.114181110023157,2.66986460057746
"2017-04-07",1260,1.07526603214168,0.150489842765512,0.98015083505142,0.164823557243267,3.8312948713095
"2017-04-08",1740,1.20286266019171,0.168981984573136,1.09655816042637,0.184355566068409,4.28621318111075
"2017-04-09",1830,1.22408736227638,0.172332293582233,1.11596396351638,0.187592927462747,4.36200556016268
"2017-04-10",1450,1.12907953597661,0.157943032033253,1.02919211475676,0.17307573455503,4.02300434597915
"2017-04-11",1390,1.11261773483142,0.155609509574152,1.01418193972472,0.170553613904806,3.9643361837744
"2017-04-12",1380,1.10982866428326,0.155218829463981,1.01163953189314,0.170126101630561,3.95439826382596
"2017-04-13",1530,1.15034208009285,0.161027021045995,1.04859043597654,0.176330428064501,4.09881236087221
"2017-04-14",1510,1.14509673236118,0.160258894265676,1.04380385575807,0.175527823135776,4.08010776174126
"2017-04-15",1420,1.1209061428092,0.156778515534633,1.02173855701436,0.171823734094131,3.99387264087778
"2017-04-16",1410,1.11815631929607,0.156389349586062,1.0192313140305,0.17140240562466,3.9840728288315
"2017-04-17",1610,1.17088123116802,0.164080890357211,1.06734029579233,0.179471228687904,4.17207391793034
"2017-04-18",1610,1.17088123116802,0.164080890357211,1.06734029579233,0.179471228687904,4.17207391793034
"2017-04-19",1580,1.163259927245,0.16293914544284,1.06038161017176,0.17830615881723,4.14488556966157
"2017-04-20",1260,1.07526603214168,0.150489842765512,0.98015083505142,0.164823557243267,3.8312948713095
"2017-04-21",1220,1.06326300771477,0.148896082085814,0.969222794975413,0.162980022809472,3.78856430025589
"2017-04-22",1180,1.05099699893565,0.147293142135989,0.958059288107396,0.161095007462939,3.74490876837534
"2017-04-23",833,0.930833116137083,0.132936320424892,0.848906665212835,0.142570645387095,3.31783559000755
"2017-04-24",627,0.84282003595701,0.123878421489208,0.769197708805113,0.128937165681438,3.0057075578794
"2017-04-25",477,0.765796960596394,0.116825515098725,0.699602821329778,0.11696225468064,2.7330106063781
"2017-04-26",364,0.696402829447663,0.111031003218339,0.637024700329093,0.10614012711489,2.48767321011662
"2017-04-27",300,0.65057113991442,0.107417792227213,0.595755755127131,0.0989763610897854,2.32581129746658
