Dates	Flow	SSC
2016-04-07	446.00	30.00
2016-04-20	1.35	146.00
2016-04-22	0.41	164.00
2016-04-30	0.001	0.001
2016-12-15	2.38	15.00
2016-12-16	46.40	151.51
2016-12-17	432.00	194.00
2016-12-21	0.58	74.00
2016-12-27	0.56	19.00
2016-12-29	0.60	16.00
2017-01-02	0.62	18.00
2017-01-06	418.69	183.00
2017-01-09	13400.75	1560.00
2017-01-10	4680.75	517.10
2017-01-11	10000.75	1590.00
2017-01-23	11600.74	728.00
2017-01-26	4410.73	177.00
2017-01-30	3310.73	145.00
2017-02-01	3030.73	92.00
2017-02-02	2940.73	104.00
2017-02-06	4200.73	161.00
2017-02-08	14050.72	723.51
2017-02-10	10400.72	917.00
2017-02-21	11500.71	962.00
2017-03-02	5000.71	147.00
2017-03-06	4240.70	131.00
2017-03-09	4090.70	107.00
2017-03-13	3077.00	72.00
2017-03-16	2866.33	56.00
2017-03-20	2696.00	44.00
2017-03-23	2702.00	49.00
2017-03-27	1399.00	28.00
2017-03-29	1051.00	31.00
2017-04-03	330.70	22.00
2017-04-04	268.00	20.00
2017-04-05	241.33	14.00
2017-04-10	969.00	35.00
2017-04-13	593.00	29.00
2017-04-17	743.00	21.00
2017-04-20	846.00	20.00
2017-04-24	349.00	15.00
2017-04-26	224.00	16.50
2017-04-27	220.00	20.00
2017-05-01	179.00	98.00
2017-05-04	163.00	219.00
2018-01-10	0.001	21.00
2018-01-16	31.50	14.00
2018-01-19	18.50	9.00
2018-01-23	17.60	12.00
2018-01-26	18.20	14.00
2018-02-05	9.10	63.00
2018-03-22	49.30	15.00
2018-03-23	63.40	155.96
2018-03-25	241.00	52.00
2018-04-08	193.00	57.00
2018-04-09	404.00	74.00
2018-04-10	288.00	41.00
2018-04-16	11.30	30.00
2019-01-29	578.00	30.00
2019-01-30	560.00	62.00
2019-01-31	537.00	113.00
2019-02-03	485.00	242.00
2019-02-04	569.00	156.00
2019-02-05	1565.00	361.00
2019-02-12	486.00	33.00
2019-02-14	12614.00	1274.88
2019-02-20	2824.00	241.00
2019-02-21	2789.00	151.00
2019-02-27	12014.50	1486.02
2019-02-28	17352.00	856.00
2019-03-01	8160.50	357.30
2019-03-05	5560.00	270.00
2019-03-06	4479.00	187.00
2019-03-07	10262.00	525.00
2019-03-12	5470.00	161.00
2019-03-14	4689.00	164.00
2019-03-20	3546.00	77.00
2019-03-22	3656.00	69.00
2019-03-25	3254.00	83.00
2019-03-28	4556.00	200.00
2019-03-29	4552.00	148.00
2019-04-04	3259.00	68.00
2019-04-05	3162.00	64.00
2019-04-09	2774.00	51.00
2019-04-11	2671.00	56.00
2019-04-16	1095.00	23.00
2019-04-17	954.00	11.00
2019-04-18	831.00	13.00
2019-04-19	726.30	28.00
2019-04-23	669.00	56.00
2019-04-26	402.00	177.00
2019-04-29	197.00	223.00
2019-04-30	158.00	243.00
2019-05-01	126.00	280.00
